Start Date	End Date	Archive Type	Rows	Size	URL	Added
07/01/2017 12:00:00 AM	07/31/2017 12:00:00 AM	Monthly	7307323	187 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2017_07.zip	06/26/2019 11:16:53 AM
08/01/2017 12:00:00 AM	08/31/2017 12:00:00 AM	Monthly	7437339	190 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2017_08.zip	06/26/2019 12:07:48 PM
09/01/2017 12:00:00 AM	09/30/2017 12:00:00 AM	Monthly	7071319	181 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2017_09.zip	06/26/2019 12:56:12 PM
10/01/2017 12:00:00 AM	10/31/2017 12:00:00 AM	Monthly	7375180	188 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2017_10.zip	06/26/2019 01:46:53 PM
11/01/2017 12:00:00 AM	11/30/2017 12:00:00 AM	Monthly	7475630	191 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2017_11.zip	06/26/2019 02:37:55 PM
12/01/2017 12:00:00 AM	12/31/2017 12:00:00 AM	Monthly	7290400	186 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2017_12.zip	06/26/2019 03:27:36 PM
01/01/2018 12:00:00 AM	01/31/2018 12:00:00 AM	Monthly	7719915	199 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_01.zip	06/26/2019 04:22:57 PM
02/01/2018 12:00:00 AM	02/28/2018 12:00:00 AM	Monthly	6791117	175 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_02.zip	06/26/2019 05:09:27 PM
03/01/2018 12:00:00 AM	03/31/2018 12:00:00 AM	Monthly	7582672	195 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_03.zip	06/26/2019 06:01:45 PM
04/01/2018 12:00:00 AM	04/30/2018 12:00:00 AM	Monthly	7171060	185 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_04.zip	06/26/2019 06:49:35 PM
05/01/2018 12:00:00 AM	05/31/2018 12:00:00 AM	Monthly	7881736	205 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_05.zip	06/26/2019 07:43:00 PM
06/01/2018 12:00:00 AM	06/30/2018 12:00:00 AM	Monthly	7555783	196 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_06.zip	06/26/2019 08:35:19 PM
07/01/2018 12:00:00 AM	07/31/2018 12:00:00 AM	Monthly	7785749	200 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_07.zip	06/26/2019 09:28:02 PM
08/01/2018 12:00:00 AM	08/31/2018 12:00:00 AM	Monthly	7708057	198 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_08.zip	07/09/2019 02:27:03 PM
09/01/2018 12:00:00 AM	09/30/2018 12:00:00 AM	Monthly	7022622	182 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_09.zip	06/26/2019 11:09:13 PM
10/01/2018 12:00:00 AM	10/31/2018 12:00:00 AM	Monthly	7942287	206 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_10.zip	06/27/2019 12:06:13 AM
11/01/2018 12:00:00 AM	11/30/2018 12:00:00 AM	Monthly	7787959	202 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_11.zip	06/27/2019 01:03:45 AM
12/01/2018 12:00:00 AM	12/31/2018 12:00:00 AM	Monthly	7422770	192 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2018_12.zip	06/26/2019 09:36:36 AM
01/01/2019 12:00:00 AM	01/31/2019 12:00:00 AM	Monthly	7999322	204 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_01.zip	06/21/2019 12:00:00 AM
02/01/2019 12:00:00 AM	02/28/2019 12:00:00 AM	Monthly	7075453	181 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_02.zip	06/21/2019 12:00:00 AM
03/01/2019 12:00:00 AM	03/31/2019 12:00:00 AM	Monthly	8036983	204 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_03.zip	06/25/2019 12:00:00 AM
04/01/2019 12:00:00 AM	04/30/2019 12:00:00 AM	Monthly	7707465	203 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_04.zip	06/27/2019 12:28:10 PM
05/01/2019 12:00:00 AM	05/31/2019 12:00:00 AM	Monthly	8265334	211 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_05.zip	07/01/2019 07:24:14 AM
06/01/2019 12:00:00 AM	06/30/2019 12:00:00 AM	Monthly	4817109	123 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_06.zip	08/01/2019 07:03:41 AM
07/01/2019 12:00:00 AM	07/31/2019 12:00:00 AM	Monthly	6334417	162 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_07.zip	09/01/2019 07:17:02 AM
08/01/2019 12:00:00 AM	08/31/2019 12:00:00 AM	Monthly	7817869	198 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_08.zip	10/01/2019 07:22:49 AM
09/01/2019 12:00:00 AM	09/30/2019 12:00:00 AM	Monthly	7703909	198 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_09.zip	11/01/2019 07:34:24 AM
10/01/2019 12:00:00 AM	10/31/2019 12:00:00 AM	Monthly	8256498	215 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_10.zip	12/01/2019 07:39:27 AM
11/01/2019 12:00:00 AM	11/30/2019 12:00:00 AM	Monthly	8162506	212 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_11.zip	01/01/2020 07:36:10 AM
12/01/2019 12:00:00 AM	12/31/2019 12:00:00 AM	Monthly	8203020	212 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2019_12.zip	02/01/2020 07:39:12 AM
01/01/2020 12:00:00 AM	01/31/2020 12:00:00 AM	Monthly	8713595	226 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2020_01.zip	03/01/2020 07:48:37 AM
02/01/2020 12:00:00 AM	02/29/2020 12:00:00 AM	Monthly	7967095	205 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2020_02.zip	04/01/2020 07:36:53 AM
03/01/2020 12:00:00 AM	03/31/2020 12:00:00 AM	Monthly	8765329	227 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2020_03.zip	05/01/2020 07:42:57 AM
04/01/2020 12:00:00 AM	04/30/2020 12:00:00 AM	Monthly	8339754	214 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2020_04.zip	06/01/2020 07:39:17 AM
05/01/2020 12:00:00 AM	05/31/2020 12:00:00 AM	Monthly	6618082	165 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2020_05.zip	07/01/2020 07:28:19 AM
06/01/2020 12:00:00 AM	06/30/2020 12:00:00 AM	Monthly	6377475	160 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2020_06.zip	08/01/2020 07:25:12 AM
07/01/2020 12:00:00 AM	07/31/2020 12:00:00 AM	Monthly	6546062	163 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2020_07.zip	09/01/2020 07:27:03 AM
08/01/2020 12:00:00 AM	08/31/2020 12:00:00 AM	Monthly	7927309	203 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2020_08.zip	10/01/2020 07:38:52 AM
09/01/2020 12:00:00 AM	09/30/2020 12:00:00 AM	Monthly	7639212	196 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2020_09.zip	11/01/2020 07:38:20 AM
10/01/2020 12:00:00 AM	10/31/2020 12:00:00 AM	Monthly	7386097	189 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2020_10.zip	12/01/2020 07:33:34 AM
11/01/2020 12:00:00 AM	11/30/2020 12:00:00 AM	Monthly	7272107	187 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2020_11.zip	01/01/2021 07:34:11 AM
12/01/2020 12:00:00 AM	12/31/2020 12:00:00 AM	Monthly	7764950	199 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2020_12.zip	02/01/2021 07:34:04 AM
01/01/2021 12:00:00 AM	01/31/2021 12:00:00 AM	Monthly	7574936	194 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2021_01.zip	03/01/2021 07:32:23 AM
02/01/2021 12:00:00 AM	02/28/2021 12:00:00 AM	Monthly	6631586	170 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2021_02.zip	04/01/2021 07:28:40 AM
03/01/2021 12:00:00 AM	03/31/2021 12:00:00 AM	Monthly	8005068	205 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2021_03.zip	05/01/2021 07:33:28 AM
04/01/2021 12:00:00 AM	04/30/2021 12:00:00 AM	Monthly	7361358	189 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2021_04.zip	06/01/2021 07:29:42 AM
05/01/2021 12:00:00 AM	05/31/2021 12:00:00 AM	Monthly	7133881	181 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2021_05.zip	07/01/2021 07:26:43 AM
06/01/2021 12:00:00 AM	06/30/2021 12:00:00 AM	Monthly	7043696	181 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2021_06.zip	08/01/2021 07:26:39 AM
07/01/2021 12:00:00 AM	07/31/2021 12:00:00 AM	Monthly	5149186	132 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2021_07.zip	09/01/2021 07:13:38 AM
08/01/2021 12:00:00 AM	08/31/2021 12:00:00 AM	Monthly	4264668	110 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2021_08.zip	10/01/2021 07:05:44 AM
09/01/2021 12:00:00 AM	09/30/2021 12:00:00 AM	Monthly	4325887	111 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2021_09.zip	11/01/2021 07:06:21 AM
10/01/2021 12:00:00 AM	10/31/2021 12:00:00 AM	Monthly	4468752	114 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2021_10.zip	07/19/2022 04:11:14 PM
11/01/2021 12:00:00 AM	11/30/2021 12:00:00 AM	Monthly	4374815	111 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2021_11.zip	07/19/2022 12:00:35 PM
12/01/2021 12:00:00 AM	12/31/2021 12:00:00 AM	Monthly	4956458	126 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2021_12.zip	07/19/2022 12:45:41 PM
01/01/2022 12:00:00 AM	01/31/2022 12:00:00 AM	Monthly	4631805	117 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2022_01.zip	07/19/2022 01:28:45 PM
02/01/2022 12:00:00 AM	02/28/2022 12:00:00 AM	Monthly	3897802	99 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2022_02.zip	07/19/2022 02:05:42 PM
03/01/2022 12:00:00 AM	03/31/2022 12:00:00 AM	Monthly	4745488	121 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2022_03.zip	07/19/2022 02:48:47 PM
04/01/2022 12:00:00 AM	04/30/2022 12:00:00 AM	Monthly	4251223	107 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2022_04.zip	07/19/2022 03:29:00 PM
05/01/2022 12:00:00 AM	05/31/2022 12:00:00 AM	Monthly	4379103	110 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2022_05.zip	07/19/2022 10:59:17 AM
06/01/2022 12:00:00 AM	06/30/2022 12:00:00 AM	Monthly	4143230	106 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2022_06.zip	08/01/2022 07:07:36 AM
07/01/2022 12:00:00 AM	07/31/2022 12:00:00 AM	Monthly	4195271	106 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2022_07.zip	09/01/2022 07:07:36 AM
08/01/2022 12:00:00 AM	08/31/2022 12:00:00 AM	Monthly	4084299	104 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2022_08.zip	10/01/2022 07:04:41 AM
09/01/2022 12:00:00 AM	09/30/2022 12:00:00 AM	Monthly	4297094	109 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2022_09.zip	11/01/2022 07:11:38 AM
10/01/2022 12:00:00 AM	10/31/2022 12:00:00 AM	Monthly	4387961	111 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2022_10.zip	12/01/2022 07:09:21 AM
11/01/2022 12:00:00 AM	11/30/2022 12:00:00 AM	Monthly	4595274	116 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2022_11.zip	01/01/2023 07:21:22 AM
12/01/2022 12:00:00 AM	12/31/2022 12:00:00 AM	Monthly	5360313	137 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2022_12.zip	02/01/2023 07:18:49 AM
01/01/2023 12:00:00 AM	01/31/2023 12:00:00 AM	Monthly	5433384	139 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2023_01.zip	03/01/2023 07:30:43 AM
02/01/2023 12:00:00 AM	02/28/2023 12:00:00 AM	Monthly	5167078	132 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2023_02.zip	04/01/2023 07:17:37 AM
03/01/2023 12:00:00 AM	03/31/2023 12:00:00 AM	Monthly	5527851	142 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2023_03.zip	05/01/2023 07:20:27 AM
04/01/2023 12:00:00 AM	04/30/2023 12:00:00 AM	Monthly	4755786	121 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2023_04.zip	06/01/2023 07:15:32 AM
05/01/2023 12:00:00 AM	05/31/2023 12:00:00 AM	Monthly	4924292	126 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2023_05.zip	07/01/2023 07:19:40 AM
06/01/2023 12:00:00 AM	06/30/2023 12:00:00 AM	Monthly	4987911	127 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2023_06.zip	08/01/2023 07:20:31 AM
07/01/2023 12:00:00 AM	07/31/2023 12:00:00 AM	Monthly	4705894	119 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2023_07.zip	09/01/2023 07:14:06 AM
08/01/2023 12:00:00 AM	08/31/2023 12:00:00 AM	Monthly	4761400	121 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2023_08.zip	10/01/2023 07:23:44 AM
09/01/2023 12:00:00 AM	09/30/2023 12:00:00 AM	Monthly	4789479	122 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2023_09.zip	11/01/2023 07:12:45 AM
10/01/2023 12:00:00 AM	10/31/2023 12:00:00 AM	Monthly	4500909	115 MB	http://wpgopendata.blob.core.windows.net/transit-on-time-archive/on_time_performance_2023_10.zip	12/01/2023 07:14:31 AM
